#	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 3 (°C)	Temperatur 4 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)	Temperatur 7 (°C)	Temperatur 8 (°C)
45	31.96	33.66	33.79	31.58	35.33	36.94	34.91	28.66
46	31.98	34.05	34.24	31.58	35.43	37.51	34.96	28.70
47	32.01	34.46	34.70	31.62	35.59	38.06	35.07	28.73
48	32.07	34.88	35.17	31.68	35.78	38.59	35.23	28.77
49	32.16	35.30	35.63	31.77	36.01	39.09	35.42	28.81
50	32.28	35.72	36.09	31.87	36.25	39.56	35.64	28.84
51	32.40	36.12	36.53	31.99	36.50	40.00	35.89	28.88
52	32.54	36.50	36.94	32.13	36.77	40.42	36.15	28.90
53	32.69	36.86	37.34	32.28	37.04	40.82	36.42	28.93
54	32.85	37.22	37.73	32.44	37.32	41.20	36.69	28.96
55	33.02	37.56	38.09	32.61	37.60	41.56	36.98	28.99
56	33.20	37.88	38.43	32.77	37.88	41.90	37.25	29.01
57	33.38	38.19	38.77	32.95	38.16	42.23	37.54	29.05
58	33.57	38.50	39.09	33.13	38.44	42.55	37.83	29.08
59	33.75	38.79	39.40	33.32	38.72	42.86	38.11	29.11
60	33.94	39.06	39.69	33.50	39.00	43.15	38.38	29.15
61	34.13	39.33	39.97	33.68	39.28	43.43	38.65	29.18
62	34.32	39.58	40.23	33.87	39.55	43.71	38.92	29.21
63	34.51	39.83	40.48	34.05	39.82	43.98	39.17	29.25
64	34.71	40.07	40.72	34.23	40.09	44.24	39.43	29.29
65	34.89	40.30	40.96	34.41	40.35	44.49	39.67	29.33
66	35.08	40.52	41.18	34.60	40.61	44.73	39.90	29.37
67	35.27	40.74	41.40	34.79	40.86	44.97	40.14	29.41
68	35.46	40.94	41.59	34.95	41.11	45.18	40.35	29.45
69	35.64	41.05	41.65	35.11	41.34	45.20	40.56	29.48
70	35.81	40.99	41.51	35.28	41.55	44.96	40.73	29.52
71	35.97	40.80	41.24	35.43	41.69	44.58	40.86	29.56
72	36.11	40.54	40.88	35.56	41.76	44.17	40.92	29.60
73	36.23	40.23	40.50	35.65	41.78	43.76	40.92	29.65
74	36.32	39.93	40.13	35.73	41.76	43.37	40.89	29.69
75	36.38	39.61	39.75	35.78	41.70	43.00	40.81	29.73
76	36.42	39.31	39.39	35.80	41.63	42.66	40.70	29.78
77	36.44	39.02	39.05	35.80	41.53	42.33	40.57	29.83
78	36.45	38.74	38.72	35.79	41.42	42.04	40.42	29.89
79	36.43	38.48	38.41	35.76	41.31	41.76	40.26	29.94
80	36.42	38.24	38.11	35.72	41.18	41.51	40.08	29.99
81	36.39	38.01	37.83	35.68	41.05	41.26	39.90	30.04
82	36.36	37.81	37.57	35.63	40.92	41.04	39.72	30.08
83	36.32	37.61	37.33	35.57	40.78	40.82	39.53	30.12
84	36.28	37.42	37.11	35.50	40.64	40.62	39.35	30.16
85	36.23	37.25	36.91	35.43	40.50	40.43	39.16	30.21
86	36.18	37.09	36.71	35.37	40.35	40.24	38.98	30.25
87	36.12	36.93	36.54	35.30	40.22	40.06	38.81	30.30
88	36.06	36.78	36.36	35.22	40.07	39.90	38.63	30.34
89	36.00	36.71	36.27	35.15	39.93	39.89	38.44	30.38
90	35.93	36.78	36.39	35.06	39.78	40.16	38.29	30.42
91	35.87	37.00	36.67	35.00	39.71	40.59	38.19	30.46
92	35.84	37.31	37.04	34.96	39.71	41.07	38.15	30.51
93	35.83	37.67	37.45	34.95	39.77	41.56	38.18	30.54
94	35.84	38.04	37.88	34.96	39.88	42.04	38.27	30.59
95	35.89	38.42	38.31	35.00	40.02	42.49	38.39	30.63
96	35.95	38.80	38.74	35.06	40.20	42.91	38.56	30.66
97	36.04	39.17	39.15	35.14	40.38	43.31	38.76	30.70
98	36.14	39.52	39.55	35.24	40.58	43.68	38.96	30.73
99	36.25	39.87	39.93	35.35	40.79	44.04	39.19	30.76
100	36.38	40.20	40.28	35.46	41.01	44.38	39.42	30.79
101	36.52	40.51	40.63	35.60	41.23	44.69	39.65	30.81
102	36.66	40.82	40.96	35.74	41.46	45.00	39.90	30.85
103	36.81	41.10	41.28	35.89	41.69	45.29	40.16	30.88
104	36.96	41.37	41.58	36.03	41.92	45.56	40.41	30.91
105	37.12	41.64	41.86	36.18	42.14	45.83	40.65	30.94
106	37.27	41.89	42.14	36.34	42.37	46.09	40.89	30.98
107	37.42	42.13	42.39	36.49	42.59	46.33	41.14	31.01
108	37.58	42.36	42.64	36.65	42.81	46.56	41.36	31.04
109	37.73	42.54	42.78	36.79	43.02	46.67	41.57	31.06
110	37.88	42.55	42.73	36.93	43.22	46.50	41.77	31.08
111	38.03	42.41	42.52	37.07	43.36	46.17	41.91	31.10
112	38.15	42.18	42.23	37.19	43.44	45.78	42.01	31.13
113	38.25	41.91	41.89	37.29	43.46	45.38	42.06	31.17
114	38.33	41.62	41.55	37.36	43.43	44.99	42.04	31.20
115	38.38	41.32	41.19	37.40	43.38	44.63	41.99	31.24
116	38.41	41.02	40.84	37.42	43.30	44.28	41.91	31.27
117	38.42	40.74	40.51	37.41	43.21	43.96	41.79	31.30
118	38.41	40.47	40.18	37.39	43.10	43.66	41.66	31.34
119	38.39	40.22	39.88	37.36	42.97	43.38	41.51	31.38
120	38.36	39.97	39.60	37.32	42.84	43.12	41.35	31.41
121	38.32	39.75	39.33	37.27	42.71	42.88	41.18	31.45
122	38.27	39.53	39.08	37.21	42.56	42.65	41.01	31.49
123	38.21	39.33	38.84	37.14	42.42	42.42	40.84	31.53
124	38.15	39.14	38.62	37.07	42.28	42.22	40.66	31.56
125	38.09	38.96	38.41	36.99	42.13	42.02	40.49	31.59
126	38.03	38.80	38.22	36.92	41.98	41.83	40.31	31.63
127	37.96	38.63	38.04	36.83	41.83	41.65	40.14	31.66
128	37.90	38.49	37.86	36.74	41.69	41.47	39.97	31.69
129	37.81	38.35	37.72	36.64	41.52	41.35	39.79	31.72
130	37.74	38.37	37.77	36.55	41.37	41.53	39.63	31.75
131	37.66	38.53	38.01	36.47	41.26	41.92	39.52	31.77
132	37.61	38.82	38.35	36.41	41.24	42.39	39.46	31.80
133	37.59	39.16	38.75	36.38	41.28	42.88	39.48	31.83
134	37.58	39.53	39.17	36.37	41.37	43.36	39.54	31.85
135	37.61	39.91	39.60	36.40	41.49	43.81	39.67	31.87
136	37.65	40.28	40.01	36.44	41.65	44.24	39.81	31.89
137	37.73	40.65	40.42	36.51	41.83	44.64	39.99	31.92
138	37.82	41.00	40.82	36.60	42.02	45.02	40.20	31.93
139	37.92	41.34	41.20	36.70	42.22	45.38	40.42	31.97
140	38.03	41.67	41.56	36.81	42.43	45.72	40.65	31.98
141	38.15	41.97	41.91	36.93	42.65	46.02	40.90	32.01
142	38.29	42.27	42.24	37.06	42.86	46.33	41.14	32.04
143	38.42	42.56	42.55	37.20	43.08	46.62	41.38	32.06
